mon,totalcitizens,# of People,votes,year,test,status
"Under $10,000",9954,5459,4333,2008,"Under $10,000",registered
"$10,000 to $14,999",9279,5540,4496,2008,"$10,000 to $14,999",registered
"$15,000 to $19,999",8178,5347,4502,2008,"$15,000 to $19,999",registered
"$20,000 to $29,999",23858,15738,13213,2008,"$20,000 to $29,999",registered
"$30,000 to $39,999",28781,20102,17586,2008,"$30,000 to $39,999",registered
"$40,000 to $49,999",23107,16405,14613,2008,"$40,000 to $49,999",registered
"$50,000 to $74,999",57511,43531,39487,2008,"$50,000 to $74,999",registered
"$75,000 to $99,999",37624,29688,27692,2008,"$75,000 to $99,999",registered
"$100,000 to $149,999",36766,29430,27479,2008,"$100,000 to $149,999",registered
"$150,000 and over",26730,21639,20539,2008,"$150,000 and over",registered
Income not reported,54187,28964,26573,2008,Income not reported,registered
"Under $10,000",9954,4495,4333,2008,"Under $10,000",not registered
"$10,000 to $14,999",9279,3739,4496,2008,"$10,000 to $14,999",not registered
"$15,000 to $19,999",8178,2831,4502,2008,"$15,000 to $19,999",not registered
"$20,000 to $29,999",23858,8120,13213,2008,"$20,000 to $29,999",not registered
"$30,000 to $39,999",28781,8679,17586,2008,"$30,000 to $39,999",not registered
"$40,000 to $49,999",23107,6702,14613,2008,"$40,000 to $49,999",not registered
"$50,000 to $74,999",57511,13980,39487,2008,"$50,000 to $74,999",not registered
"$75,000 to $99,999",37624,7936,27692,2008,"$75,000 to $99,999",not registered
"$100,000 to $149,999",36766,7336,27479,2008,"$100,000 to $149,999",not registered
"$150,000 and over",26730,5091,20539,2008,"$150,000 and over",not registered
Income not reported,54187,25223,26573,2008,Income not reported,not registered
"Under $10,000",9954,4333,4333,2008,"Under $10,000",voted
"$10,000 to $14,999",9279,4496,4496,2008,"$10,000 to $14,999",voted
"$15,000 to $19,999",8178,4502,4502,2008,"$15,000 to $19,999",voted
"$20,000 to $29,999",23858,13213,13213,2008,"$20,000 to $29,999",voted
"$30,000 to $39,999",28781,17586,17586,2008,"$30,000 to $39,999",voted
"$40,000 to $49,999",23107,14613,14613,2008,"$40,000 to $49,999",voted
"$50,000 to $74,999",57511,39487,39487,2008,"$50,000 to $74,999",voted
"$75,000 to $99,999",37624,27692,27692,2008,"$75,000 to $99,999",voted
"$100,000 to $149,999",36766,27479,27479,2008,"$100,000 to $149,999",voted
"$150,000 and over",26730,20539,20539,2008,"$150,000 and over",voted
Income not reported,54187,26573,26573,2008,Income not reported,voted
