mon,totalcitizens,# of People,votes,year,test,status
"Under $10,000",9954,6732,4994,2012,"Under $10,000",registered
"$10,000 to $14,999",9279,5790,4458,2012,"$10,000 to $14,999",registered
"$15,000 to $19,999",8178,5209,4177,2012,"$15,000 to $19,999",registered
"$20,000 to $29,999",23858,16499,13616,2012,"$20,000 to $29,999",registered
"$30,000 to $39,999",28781,18564,15658,2012,"$30,000 to $39,999",registered
"$40,000 to $49,999",23107,15852,13534,2012,"$40,000 to $49,999",registered
"$50,000 to $74,999",57511,41278,36270,2012,"$50,000 to $74,999",registered
"$75,000 to $99,999",37624,29063,26235,2012,"$75,000 to $99,999",registered
"$100,000 to $149,999",36766,31200,28276,2012,"$100,000 to $149,999",registered
"$150,000 and over",26730,25665,23654,2012,"$150,000 and over",registered
Income not reported,54187,33099,30056,2012,Income not reported,registered
"Under $10,000",10656,3924,4994,2012,"Under $10,000",not registered
"$10,000 to $14,999",9730,3940,4458,2012,"$10,000 to $14,999",not registered
"$15,000 to $19,999",8288,3079,4177,2012,"$15,000 to $19,999",not registered
"$20,000 to $29,999",24387,7888,13616,2012,"$20,000 to $29,999",not registered
"$30,000 to $39,999",26817,8253,15658,2012,"$30,000 to $39,999",not registered
"$40,000 to $49,999",21486,5634,13534,2012,"$40,000 to $49,999",not registered
"$50,000 to $74,999",53325,12047,36270,2012,"$50,000 to $74,999",not registered
"$75,000 to $99,999",35568,6505,26235,2012,"$75,000 to $99,999",not registered
"$100,000 to $149,999",36757,5557,28276,2012,"$100,000 to $149,999",not registered
"$150,000 and over",29481,3816,23654,2012,"$150,000 and over",not registered
Income not reported,59633,26534,30056,2012,Income not reported,not registered
"Under $10,000","10,656",4994,4994,2012,"Under $10,000",voted
"$10,000 to $14,999","9,730",4458,4458,2012,"$10,000 to $14,999",voted
"$15,000 to $19,999","8,288",4177,4177,2012,"$15,000 to $19,999",voted
"$20,000 to $29,999","24,387",13616,13616,2012,"$20,000 to $29,999",voted
"$30,000 to $39,999","26,817",15658,15658,2012,"$30,000 to $39,999",voted
"$40,000 to $49,999","21,486",13534,13534,2012,"$40,000 to $49,999",voted
"$50,000 to $74,999","53,325",36270,36270,2012,"$50,000 to $74,999",voted
"$75,000 to $99,999","35,568",26235,26235,2012,"$75,000 to $99,999",voted
"$100,000 to $149,999","36,757",28276,28276,2012,"$100,000 to $149,999",voted
"$150,000 and over","29,481",23654,23654,2012,"$150,000 and over",voted
Income not reported,"59,633",30056,30056,2012,Income not reported,voted
