state,year,id,party,votes
Kentucky,2008,21,republican,1048462
Kentucky,1996,21,democrat,636614
Kentucky,1980,21,republican,635274
Kentucky,2000,21,republican,872520
Kentucky,2016,21,republican,1202971
Kentucky,1984,21,republican,821702
Kentucky,1976,21,democrat,615717
Kentucky,1988,21,republican,734281
Kentucky,2004,21,republican,1069439
Louisiana,1988,22,republican,883702
Louisiana,1996,22,democrat,927837
Louisiana,1992,22,democrat,815971
Louisiana,1976,22,democrat,661365
Louisiana,1984,22,republican,1037299
Louisiana,2004,22,republican,1102169
Louisiana,2016,22,republican,1178638
Louisiana,1980,22,republican,792853
Louisiana,2000,22,republican,927871
Louisiana,2008,22,republican,1148275
Louisiana,2012,22,republican,1152262
Maine,1996,23,democrat,312788
Maine,2004,23,democrat,396842
Maine,2012,23,democrat,401306
Maine,2016,23,democrat,357735
Maine,1988,23,republican,307131
Maine,1980,23,republican,238522
Maine,1984,23,republican,336500
Maine,1992,23,democrat,263420
Maine,1976,23,republican,236320
Maine,2000,23,democrat,319951
Maine,2008,23,democrat,421923
Maryland,2000,24,democrat,1144008
Maryland,2008,24,democrat,1629467
Maryland,1984,24,republican,879918
Maryland,2012,24,democrat,1677844
Maryland,1992,24,democrat,988571
Maryland,1976,24,democrat,759612
Maryland,1996,24,democrat,966207
Maryland,1980,24,democrat,726161
Maryland,1988,24,republican,876167
Maryland,2016,24,democrat,1677928
Maryland,2004,24,democrat,1334493
Massachusetts,1980,25,republican,1057631
Massachusetts,2008,25,democrat,1904097
Massachusetts,1984,25,republican,1310936
Massachusetts,1976,25,democrat,1429475
Massachusetts,2016,25,democrat,1995196
Massachusetts,2000,25,democrat,1616487
Massachusetts,1988,25,democrat,1401415
Massachusetts,1996,25,democrat,1571509
Massachusetts,2012,25,democrat,1921290
Massachusetts,2004,25,democrat,1803800
Massachusetts,1992,25,democrat,1318639
Michigan,1984,26,republican,2251571
Michigan,2012,26,democrat,2564569
Michigan,2000,26,democrat,2170418
Michigan,1996,26,democrat,1989653
Michigan,1988,26,republican,1965486
Michigan,2004,26,democrat,2479183
Michigan,1992,26,democrat,1871182
Michigan,2008,26,democrat,2872579
Michigan,1980,26,republican,1915225
Michigan,1976,26,republican,1893742
Michigan,2016,26,republican,2279543
Minnesota,1992,27,democrat,1020997
Minnesota,2004,27,democratic-farmer-labor,1445014
Minnesota,1988,27,democrat,1109471
Minnesota,2000,27,democratic-farmer-labor,1168266
Minnesota,2016,27,democrat,1367705
Minnesota,1980,27,democrat,954173
Minnesota,2012,27,democratic-farmer-labor,1546167
Minnesota,1976,27,democrat,1070440
Minnesota,1996,27,democrat,1120380
Minnesota,1984,27,democrat,1036364
Minnesota,2008,27,democrat,1573354
Mississippi,1980,28,republican,441089
Mississippi,2016,28,republican,700714
Mississippi,1984,28,republican,582377
Mississippi,1996,28,republican,439838
Mississippi,1992,28,republican,487793
Mississippi,2000,28,republican,572844
Mississippi,2012,28,republican,710746
Mississippi,1988,28,republican,557890
Mississippi,2004,28,republican,672660
Mississippi,1976,28,democrat,381329
Mississippi,2008,28,republican,724597
Missouri,1980,29,republican,1074181
Missouri,2016,29,republican,1594511
Missouri,1976,29,democrat,998387
Missouri,1996,29,democrat,1025935
Missouri,2004,29,republican,1455713
Missouri,2012,29,republican,1482440
Missouri,1992,29,democrat,1053873
Missouri,1988,29,republican,1084953
Missouri,2008,29,republican,1445814
Missouri,1984,29,republican,1274188
Missouri,2000,29,republican,1189924
Montana,2004,30,republican,266063
Montana,1992,30,democrat,154507
Montana,2016,30,republican,279240
Montana,1996,30,republican,179652
Montana,2000,30,republican,240178
Montana,1980,30,republican,206814
Montana,2008,30,republican,242763
Montana,1988,30,republican,190412
Montana,2012,30,republican,267928
Montana,1976,30,republican,173703
Montana,1984,30,republican,232450
Nebraska,2016,31,republican,495961
Nebraska,1976,31,republican,359219
Nebraska,1996,31,republican,363467
Nebraska,1992,31,republican,343678
Nebraska,2000,31,republican,433862
Nebraska,1988,31,republican,397956
Nebraska,1984,31,republican,460054
Nebraska,2004,31,republican,512814
Nebraska,2008,31,republican,452979
Nebraska,1980,31,republican,419214
Nebraska,2012,31,republican,475064
Nevada,2000,32,republican,301575
Nevada,1992,32,democrat,189148
Nevada,2016,32,democrat,539260
Nevada,1988,32,republican,206040
Nevada,2004,32,republican,418690
Nevada,1976,32,republican,101273
Nevada,2012,32,democrat,531373
Nevada,1980,32,republican,155017
Nevada,1984,32,republican,188770
Nevada,1996,32,democrat,203974
Nevada,2008,32,democrat,533736
New Hampshire,2004,33,democrat,340511
New Hampshire,1980,33,republican,221705
New Hampshire,2000,33,republican,273559
New Hampshire,1996,33,democrat,246166
New Hampshire,1988,33,republican,281537
New Hampshire,2008,33,democrat,384826
New Hampshire,1992,33,democrat,209040
New Hampshire,1976,33,republican,185935
New Hampshire,2012,33,democrat,369561
New Hampshire,1984,33,republican,267050
New Hampshire,2016,33,democrat,348526
New Jersey,2012,34,democrat,2122786
New Jersey,1992,34,democrat,1436206
New Jersey,1984,34,republican,1933630
New Jersey,2008,34,democrat,2215422
New Jersey,2000,34,democrat,1788850
New Jersey,1996,34,democrat,1652361
New Jersey,2016,34,democrat,2148278
New Jersey,1980,34,republican,1546557
