mon,totalcitizens,# of People,votes,year,test,status
"Under $10,000","8,284",4782,3426,2016,"Under $10,000",registered
"$10,000 to $14,999","7,965",4852,3796,2016,"$10,000 to $14,999",registered
"$15,000 to $19,999","6,773",4224,3303,2016,"$15,000 to $19,999",registered
"$20,000 to $29,999","19,993",12761,10334,2016,"$20,000 to $29,999",registered
"$30,000 to $39,999","24,920",17216,14680,2016,"$30,000 to $39,999",registered
"$40,000 to $49,999","20,271",14584,12647,2016,"$40,000 to $49,999",registered
"$50,000 to $74,999","49,554",38220,33522,2016,"$50,000 to $74,999",registered
"$75,000 to $99,999","38,507",30492,27509,2016,"$75,000 to $99,999",registered
"$100,000 to $149,999","43,444",36330,33201,2016,"$100,000 to $149,999",registered
"$150,000 and over","39,292",33685,31554,2016,"$150,000 and over",registered
Income not reported,"65,122",35516,31707,2016,Income not reported,registered
"Under $10,000",8284,3502,3426,2016,"Under $10,000",not registered
"$10,000 to $14,999",7965,3113,3796,2016,"$10,000 to $14,999",not registered
"$15,000 to $19,999",6773,2549,3303,2016,"$15,000 to $19,999",not registered
"$20,000 to $29,999",19993,7232,10334,2016,"$20,000 to $29,999",not registered
"$30,000 to $39,999",24920,7704,14680,2016,"$30,000 to $39,999",not registered
"$40,000 to $49,999",20271,5687,12647,2016,"$40,000 to $49,999",not registered
"$50,000 to $74,999",49554,11334,33522,2016,"$50,000 to $74,999",not registered
"$75,000 to $99,999",38507,8015,27509,2016,"$75,000 to $99,999",not registered
"$100,000 to $149,999",43444,7114,33201,2016,"$100,000 to $149,999",not registered
"$150,000 and over",39292,5607,31554,2016,"$150,000 and over",not registered
Income not reported,65122,29606,31707,2016,Income not reported,not registered
"Under $10,000","8,284",3426,3426,2016,"Under $10,000",voted
"$10,000 to $14,999","7,965",3796,3796,2016,"$10,000 to $14,999",voted
"$15,000 to $19,999","6,773",3303,3303,2016,"$15,000 to $19,999",voted
"$20,000 to $29,999","19,993",10334,10334,2016,"$20,000 to $29,999",voted
"$30,000 to $39,999","24,920",14680,14680,2016,"$30,000 to $39,999",voted
"$40,000 to $49,999","20,271",12647,12647,2016,"$40,000 to $49,999",voted
"$50,000 to $74,999","49,554",33522,33522,2016,"$50,000 to $74,999",voted
"$75,000 to $99,999","38,507",27509,27509,2016,"$75,000 to $99,999",voted
"$100,000 to $149,999","43,444",33201,33201,2016,"$100,000 to $149,999",voted
"$150,000 and over","39,292",31554,31554,2016,"$150,000 and over",voted
Income not reported,"65,122",31707,31707,2016,Income not reported,voted
